16403,tablefunc_crosstab_2,2200,16405,0,10,0,0,0,0,-1.0,0,0,False,False,p,c,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16406,tablefunc_crosstab_3,2200,16408,0,10,0,0,0,0,-1.0,0,0,False,False,p,c,4,0,False,False,False,False,False,True,n,False,0,0,0,,,
16409,tablefunc_crosstab_4,2200,16411,0,10,0,0,0,0,-1.0,0,0,False,False,p,c,5,0,False,False,False,False,False,True,n,False,0,0,0,,,
16434,businessentity_businessentityid_seq,16433,0,0,10,0,16434,0,1,1.0,0,0,False,False,p,S,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16452,stateprovince_stateprovinceid_seq,16433,0,0,10,0,16452,0,1,1.0,0,0,False,False,p,S,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16463,address,16433,16465,0,10,2,17289,0,317,19614.0,0,16469,True,False,p,r,9,0,False,True,False,False,False,True,d,False,0,1318,1,,,
16462,address_addressid_seq,16433,0,0,10,0,16462,0,1,1.0,0,0,False,False,p,S,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16479,pg_toast_16472_index,99,0,0,10,403,17301,0,1,0.0,0,0,False,False,p,i,2,0,False,False,False,False,False,True,n,False,0,0,0,,,
16471,addresstype_addresstypeid_seq,16433,0,0,10,0,16471,0,1,1.0,0,0,False,False,p,S,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16485,contacttype_contacttypeid_seq,16433,0,0,10,0,16485,0,1,1.0,0,0,False,False,p,S,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16498,emailaddress_emailaddressid_seq,16433,0,0,10,0,16498,0,1,1.0,0,0,False,False,p,S,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16510,phonenumbertype_phonenumbertypeid_seq,16433,0,0,10,0,16510,0,1,1.0,0,0,False,False,p,S,3,0,False,False,False,False,False,True,n,False,0,0,0,,,
16460,pg_toast_16453,99,0,0,10,2,17727,0,0,-1.0,0,0,True,False,p,t,3,0,False,False,False,False,False,True,n,False,0,1456,1,,,
16469,pg_toast_16463,99,0,0,10,2,17292,0,0,-1.0,0,0,True,False,p,t,3,0,False,False,False,False,False,True,n,False,0,1318,1,,,
2619,pg_statistic,11,10029,0,10,2,2619,0,68,767.0,68,2840,True,False,p,r,31,0,False,False,False,False,False,True,n,False,0,844,1,{postgres=arwdDxt/postgres},,
1247,pg_type,11,71,0,10,2,0,0,23,945.0,14,4171,True,False,p,r,32,0,False,False,False,False,False,True,n,False,0,723,1,"{postgres=arwdDxt/postgres,=r/postgres}",,
16470,pg_toast_16463_index,99,0,0,10,403,17293,0,1,0.0,0,0,False,False,p,i,2,0,False,False,False,False,False,True,n,False,0,0,0,,,
16478,pg_toast_16472,99,0,0,10,2,17300,0,0,-1.0,0,0,True,False,p,t,3,0,False,False,False,False,False,True,n,False,0,1326,1,,,
16491,pg_toast_16486,99,0,0,10,2,17328,0,0,-1.0,0,0,True,False,p,t,3,0,False,False,False,False,False,True,n,False,0,1333,1,,,
16492,pg_toast_16486_index,99,0,0,10,403,17329,0,1,0.0,0,0,False,False,p,i,2,0,False,False,False,False,False,True,n,False,0,0,0,,,
16450,pg_toast_16441,99,0,0,10,2,17463,0,0,-1.0,0,0,True,False,p,t,3,0,False,False,False,False,False,True,n,False,0,1385,1,,,
16451,pg_toast_16441_index,99,0,0,10,403,17464,0,1,0.0,0,0,False,False,p,i,2,0,False,False,False,False,False,True,n,False,0,0,0,,,
16522,pg_toast_16518,99,0,0,10,2,17471,0,0,-1.0,0,0,True,False,p,t,3,0,False,False,False,False,False,True,n,False,0,1387,1,,,
16516,pg_toast_16511,99,0,0,10,2,17479,0,0,-1.0,0,0,True,False,p,t,3,0,False,False,False,False,False,True,n,False,0,1389,1,,,
