1242,1255,0,I/O
1243,1255,0,I/O
1244,1255,0,I/O
31,1255,0,I/O
1245,1255,0,I/O
33,1255,0,I/O
34,1255,0,I/O
35,1255,0,I/O
38,1255,0,I/O
39,1255,0,I/O
40,1255,0,I/O
41,1255,0,I/O
42,1255,0,I/O
43,1255,0,I/O
44,1255,0,I/O
45,1255,0,I/O
3494,1255,0,convert proname to regproc
3479,1255,0,convert proname to regprocedure
46,1255,0,I/O
47,1255,0,I/O
48,1255,0,I/O
49,1255,0,I/O
50,1255,0,I/O
51,1255,0,I/O
5070,1255,0,I/O
5081,1255,0,I/O
5082,1255,0,I/O
5083,1255,0,I/O
52,1255,0,I/O
53,1255,0,I/O
54,1255,0,I/O
55,1255,0,I/O
6242,1255,0,planner support for text_starts_with
5096,1255,0,less-equal-greater
5071,1255,0,convert xid8 to xid
5097,1255,0,larger of two
5098,1255,0,smaller of two
77,1255,0,convert char to int4
78,1255,0,convert int4 to char
1364,1255,0,planner support for textregexeq
1257,1255,0,length
89,1255,0,PostgreSQL version string
86,1255,0,I/O
87,1255,0,I/O
88,1255,0,I/O
90,1255,0,I/O
101,1255,0,restriction selectivity of = and related operators
102,1255,0,restriction selectivity of <> and related operators
103,1255,0,restriction selectivity of < and related operators on scalar datatypes
104,1255,0,restriction selectivity of > and related operators on scalar datatypes
105,1255,0,join selectivity of = and related operators
106,1255,0,join selectivity of <> and related operators
107,1255,0,join selectivity of < and related operators on scalar datatypes
108,1255,0,join selectivity of > and related operators on scalar datatypes
336,1255,0,restriction selectivity of <= and related operators on scalar datatypes
337,1255,0,restriction selectivity of >= and related operators on scalar datatypes
386,1255,0,join selectivity of <= and related operators on scalar datatypes
398,1255,0,join selectivity of >= and related operators on scalar datatypes
109,1255,0,I/O
110,1255,0,I/O
117,1255,0,I/O
118,1255,0,I/O
119,1255,0,I/O
120,1255,0,I/O
121,1255,0,I/O
122,1255,0,I/O
123,1255,0,I/O
124,1255,0,I/O
139,1255,0,restriction selectivity for area-comparison operators
140,1255,0,join selectivity for area-comparison operators
