pg_catalog.avg,n,0,int8_avg_accum,numeric_poly_avg,int8_avg_combine,int8_avg_serialize,int8_avg_deserialize,int8_avg_accum,int8_avg_accum_inv,numeric_poly_avg,False,False,r,r,0,2281,48,2281,48,,
pg_catalog.avg,n,0,int4_avg_accum,int8_avg,int4_avg_combine,-,-,int4_avg_accum,int4_avg_accum_inv,int8_avg,False,False,r,r,0,1016,0,1016,0,"{0,0}","{0,0}"
pg_catalog.avg,n,0,int2_avg_accum,int8_avg,int4_avg_combine,-,-,int2_avg_accum,int2_avg_accum_inv,int8_avg,False,False,r,r,0,1016,0,1016,0,"{0,0}","{0,0}"
pg_catalog.avg,n,0,numeric_avg_accum,numeric_avg,numeric_avg_combine,numeric_avg_serialize,numeric_avg_deserialize,numeric_avg_accum,numeric_accum_inv,numeric_avg,False,False,r,r,0,2281,128,2281,128,,
pg_catalog.avg,n,0,float4_accum,float8_avg,float8_combine,-,-,-,-,-,False,False,r,r,0,1022,0,0,0,"{0,0,0}",
pg_catalog.avg,n,0,float8_accum,float8_avg,float8_combine,-,-,-,-,-,False,False,r,r,0,1022,0,0,0,"{0,0,0}",
pg_catalog.avg,n,0,interval_accum,interval_avg,interval_combine,-,-,interval_accum,interval_accum_inv,interval_avg,False,False,r,r,0,1187,0,1187,0,"{0 second,0 second}","{0 second,0 second}"
pg_catalog.sum,n,0,int8_avg_accum,numeric_poly_sum,int8_avg_combine,int8_avg_serialize,int8_avg_deserialize,int8_avg_accum,int8_avg_accum_inv,numeric_poly_sum,False,False,r,r,0,2281,48,2281,48,,
pg_catalog.sum,n,0,int4_sum,-,int8pl,-,-,int4_avg_accum,int4_avg_accum_inv,int2int4_sum,False,False,r,r,0,20,0,1016,0,,"{0,0}"
pg_catalog.sum,n,0,int2_sum,-,int8pl,-,-,int2_avg_accum,int2_avg_accum_inv,int2int4_sum,False,False,r,r,0,20,0,1016,0,,"{0,0}"
pg_catalog.sum,n,0,float4pl,-,float4pl,-,-,-,-,-,False,False,r,r,0,700,0,0,0,,
